dimension,criterion,mentions_automatable
Executability,computing environment,28
Executability,dependency resolution,28
Executability,path resolution,15
Availability,data documentation,11
Consistency,numerical output match,8
Executability,version control,6
Availability,data provenance,5
Executability,coding error handling,5
Executability,code runs without manual intervention,4
Consistency,codes consistent with claims,4
Consistency,table and figure match,4
Availability,code deposit,1
Availability,data deposit,1
Availability,license,1
Executability,workflow/reproduction tree,1
